All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    4            
    # relocations                  2            
    # translocations               0            
    # inversions                   1            
    # interspecies translocations  1            
# possibly misassembled contigs    0            
# misassembled contigs             4            
Misassembled contigs length        3459         
# local misassemblies              0            
# mismatches                       10543        
# indels                           15           
    # short indels                 15           
    # long indels                  0            
Indels length                      15           
