All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              3            
    # relocations            3            
    # translocations         0            
    # inversions             0            
# misassembled contigs       3            
Misassembled contigs length  11265        
# local misassemblies        2            
# mismatches                 59           
# indels                     2            
    # short indels           2            
    # long indels            0            
Indels length                2            
