All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  8        
    # relocations                8        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  0        
# misassembled contigs           8        
Misassembled contigs length      12509    
# local misassemblies            3        
# mismatches                     3678     
# indels                         466      
    # short indels               221      
    # long indels                245      
Indels length                    4110     
