Assembly	contigs
# contigs (>= 0 bp)	12534
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	3356364
Total length (>= 1000 bp)	19577
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	117
Largest contig	4442
Total length	83219
Reference length	4641652
GC (%)	50.81
Reference GC (%)	50.79
N50	611
N75	538
L50	41
L75	77
# misassemblies	6
# misassembled contigs	6
Misassembled contigs length	8723
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	1.778
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1974.73
# indels per 100 kbp	1.21
Largest alignment	4442
NA50	605
NGA50	-
NA75	535
LA50	43
LA75	79
