Assembly	anonymous_gsa
# contigs (>= 0 bp)	7673
# contigs (>= 1000 bp)	1159
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	4099248
Total length (>= 1000 bp)	1793427
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2776
Largest contig	4469
Total length	2973541
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	1151
NG50	774
N75	814
L50	874
LG50	1759
L75	1645
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	63.981
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	4469
NA50	1151
NGA50	774
NA75	814
LA50	874
LGA50	1759
LA75	1645
