All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              14           
    # relocations            13           
    # translocations         0            
    # inversions             1            
# misassembled contigs       14           
Misassembled contigs length  309015       
# local misassemblies        7            
# mismatches                 5418         
# indels                     16           
    # short indels           16           
    # long indels            0            
Indels length                19           
