All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    10           
    # relocations                  9            
    # translocations               0            
    # inversions                   1            
    # interspecies translocations  0            
# possibly misassembled contigs    0            
# misassembled contigs             10           
Misassembled contigs length        9513         
# local misassemblies              0            
# mismatches                       24014        
# indels                           155          
    # short indels                 155          
    # long indels                  0            
Indels length                      210          
