All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              9            
    # relocations            9            
    # translocations         0            
    # inversions             0            
# misassembled contigs       9            
Misassembled contigs length  9862         
# local misassemblies        4            
# mismatches                 11694        
# indels                     14           
    # short indels           14           
    # long indels            0            
Indels length                14           
