All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              37     
    # relocations            37     
    # translocations         0      
    # inversions             0      
# misassembled contigs       37     
Misassembled contigs length  53299  
# local misassemblies        3      
# mismatches                 24001  
# indels                     22     
    # short indels           21     
    # long indels            1      
Indels length                28     
