All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              9            
    # relocations            9            
    # translocations         0            
    # inversions             0            
# misassembled contigs       9            
Misassembled contigs length  18977        
# local misassemblies        8            
# mismatches                 18451        
# indels                     21           
    # short indels           20           
    # long indels            1            
Indels length                108          
