All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    11           
    # relocations                  11           
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  0            
# possibly misassembled contigs    0            
# misassembled contigs             11           
Misassembled contigs length        18308        
# local misassemblies              3            
# mismatches                       30997        
# indels                           34           
    # short indels                 34           
    # long indels                  0            
Indels length                      45           
