All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  20           
    # relocations                20           
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  16           
# misassembled contigs           20           
Misassembled contigs length      69794        
# local misassemblies            0            
# mismatches                     5893         
# indels                         7            
    # short indels               7            
    # long indels                0            
Indels length                    7            
