All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  21           
    # relocations                20           
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  0            
# misassembled contigs           21           
Misassembled contigs length      29556        
# local misassemblies            0            
# mismatches                     8298         
# indels                         6            
    # short indels               6            
    # long indels                0            
Indels length                    6            
