All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  36           
    # relocations                35           
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  8            
# misassembled contigs           29           
Misassembled contigs length      146916       
# local misassemblies            0            
# mismatches                     9445         
# indels                         18           
    # short indels               18           
    # long indels                0            
Indels length                    18           
