All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  15           
    # relocations                15           
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  0            
# misassembled contigs           15           
Misassembled contigs length      12970        
# local misassemblies            0            
# mismatches                     6373         
# indels                         2            
    # short indels               2            
    # long indels                0            
Indels length                    2            
