All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  2            
    # relocations                1            
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  9            
# misassembled contigs           2            
Misassembled contigs length      28614        
# local misassemblies            0            
# mismatches                     1227         
# indels                         11           
    # short indels               5            
    # long indels                6            
Indels length                    73           
