All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  86           
    # relocations                83           
    # translocations             0            
    # inversions                 3            
# possibly misassembled contigs  10           
# misassembled contigs           82           
Misassembled contigs length      239534       
# local misassemblies            0            
# mismatches                     32404        
# indels                         28           
    # short indels               28           
    # long indels                0            
Indels length                    28           
