Assembly	final.contigs
# contigs (>= 0 bp)	894
# contigs (>= 1000 bp)	480
Total length (>= 0 bp)	1872469
Total length (>= 1000 bp)	1594380
# contigs	894
Largest contig	21352
Total length	1872469
Reference length	1892775
GC (%)	32.29
Reference GC (%)	32.26
N50	3660
NG50	3571
N75	1790
NG75	1697
L50	155
LG50	157
L75	338
LG75	347
# misassemblies	6
# misassembled contigs	6
Misassembled contigs length	6031
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.301
Duplication ratio	1.084
# N's per 100 kbp	0.00
# mismatches per 100 kbp	677.50
# indels per 100 kbp	0.17
Largest alignment	21352
NA50	3660
NGA50	3571
NA75	1790
NGA75	1697
LA50	155
LGA50	157
LA75	338
LGA75	347
