Assembly	final.contigs
# contigs (>= 0 bp)	508
# contigs (>= 1000 bp)	395
Total length (>= 0 bp)	5264893
Total length (>= 1000 bp)	5187603
# contigs	508
Largest contig	95259
Total length	5264893
Reference length	5478683
GC (%)	50.29
Reference GC (%)	50.49
N50	26971
NG50	25902
N75	14646
NG75	12632
L50	61
LG50	65
L75	126
LG75	138
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	3111
# local misassemblies	0
# unaligned contigs	0 + 2 part
Unaligned length	29827
Genome fraction (%)	94.813
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	11.49
# indels per 100 kbp	0.12
Largest alignment	95259
NA50	26664
NGA50	25580
NA75	14010
NGA75	12341
LA50	62
LGA50	66
LA75	128
LGA75	141
