Assembly	final.contigs
# contigs (>= 0 bp)	1253
# contigs (>= 1000 bp)	1110
Total length (>= 0 bp)	5565654
Total length (>= 1000 bp)	5460129
# contigs	1253
Largest contig	31841
Total length	5565654
Reference length	5478683
GC (%)	50.51
Reference GC (%)	50.50
N50	6618
NG50	6713
N75	3855
NG75	3963
L50	265
LG50	259
L75	540
LG75	524
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	29757
# local misassemblies	0
# unaligned contigs	0 + 1 part
Unaligned length	13
Genome fraction (%)	99.277
Duplication ratio	1.023
# N's per 100 kbp	0.00
# mismatches per 100 kbp	29.14
# indels per 100 kbp	0.00
Largest alignment	31841
NA50	6614
NGA50	6713
NA75	3847
NGA75	3961
LA50	266
LGA50	259
LA75	542
LGA75	525
