All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    1            
    # relocations                  0            
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  1            
# possibly misassembled contigs    0            
# misassembled contigs             1            
Misassembled contigs length        29757        
# local misassemblies              2            
# mismatches                       3027         
# indels                           8            
    # short indels                 6            
    # long indels                  2            
Indels length                      40           
