Assembly	final.contigs
# contigs (>= 0 bp)	4895
# contigs (>= 1000 bp)	1379
Total length (>= 0 bp)	4420427
Total length (>= 1000 bp)	1954880
# contigs	4895
Largest contig	4257
Total length	4420427
Reference length	5547323
GC (%)	50.32
Reference GC (%)	50.48
N50	939
NG50	798
N75	691
NG75	545
L50	1643
LG50	2296
L75	3026
LG75	4398
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 1 part
Unaligned length	86
Genome fraction (%)	74.696
Duplication ratio	1.067
# N's per 100 kbp	0.00
# mismatches per 100 kbp	241.24
# indels per 100 kbp	0.14
Largest alignment	4257
NA50	939
NGA50	798
NA75	691
NGA75	545
LA50	1643
LGA50	2296
LA75	3027
LGA75	4398
