Assembly	final.contigs
# contigs (>= 0 bp)	4414
# contigs (>= 1000 bp)	1188
Total length (>= 0 bp)	3925507
Total length (>= 1000 bp)	1667565
# contigs	4414
Largest contig	4257
Total length	3925507
Reference length	5547323
GC (%)	50.26
Reference GC (%)	50.48
N50	913
NG50	718
N75	683
L50	1496
LG50	2502
L75	2746
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 1 part
Unaligned length	86
Genome fraction (%)	67.487
Duplication ratio	1.049
# N's per 100 kbp	0.00
# mismatches per 100 kbp	128.19
# indels per 100 kbp	0.16
Largest alignment	4257
NA50	913
NGA50	718
NA75	683
LA50	1496
LGA50	2502
LA75	2746
