Assembly	final.contigs
# contigs (>= 0 bp)	3864
# contigs (>= 1000 bp)	842
Total length (>= 0 bp)	5973678
Total length (>= 1000 bp)	4880343
# contigs	1286
Largest contig	39846
Total length	5169320
Reference length	11094646
GC (%)	50.27
Reference GC (%)	50.48
N50	8472
N75	4218
L50	183
L75	397
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.592
Duplication ratio	1.012
# N's per 100 kbp	0.00
# mismatches per 100 kbp	528.05
# indels per 100 kbp	0.12
Largest alignment	39846
NA50	8472
NA75	4218
LA50	183
LA75	397
