strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	82.782	78.144	83.37	76.867
Shigella_flexneri_2a_str._2457T	78.181	75.661	83.593	80.366
Porphyromonas_gingivalis	84.591	80.995	80.433	77.569
Corynebacterium_diphtheriae	83.251	81.174	84.266	80.174
Mycobacterium_leprae	84.111	81.872	80.834	78.056
Oceanobacillus_iheyensis	83.635	82.783	80.026	78.5
Enterococcus_faecalis	80.346	85.128	79.025	83.24
Tropheryma_whipplei_str._Twist	76.365	81.358	84.548	80.323
Escherichia_coli_O157_H7	79.2	80.971	75.853	84.561
Thermoplasma_acidophilum	85.024	81.821	81.651	85.569
Fibrobacter_succinogenes_subsp._succinogenes_S85	90.405	NA	90.405	NA
Sulfolobus_tokodaii	78.663	83.425	78.431	82.324
Chromobacterium_violaceum	82.584	83.682	79.141	78.045
Neisseria_meningitidis_serogroup_A	79.168	84.815	75.925	81.59
Neisseria_meningitidis_serogroup_B	73.369	81.383	84.484	77.108
Mycoplasma_pneumoniae	81.484	77.818	85.488	82.394
Bifidobacterium_longum	84.354	82.266	80.261	79.336
Synechocystis_sp._PCC_6803	84.474	80.906	81.376	84.762
Pyrococcus_horikoshii	85.218	84.029	81.249	80.091
Bordetella_parapertussis	79.406	82.81	78.111	83.559
Photorhabdus_luminescens_subsp._laumondii	88.769	NA	88.769	NA
Thermotoga_maritima	84.622	84.84	81.396	81.165
Streptococcus_agalactiae_serogroup_V	83.816	76.686	81.129	79.997
Lactobacillus_plantarum	80.332	81.049	84.627	83.839
Listeria_monocytogenes	83.787	84.52	79.631	80.022
Methanosarcina_mazei	80.467	84.426	80.803	76.592
Chlorobaculum_tepidum	81.076	84.44	80.389	83.84
Chlamydophila_caviae	84.274	81.082	81.284	85.678
Solibacter_usitatus_Ellin6076	80.388	78.857	83.136	84.272
Caenorhabditis_briggsae	71.029	75.929	79.807	75.117
Prochlorococcus_marinus_str._MIT_9313	81.529	85.265	81.983	84.266
Mycoplasma_mobile_163K	80.871	80.434	75.212	73.819
Tropheryma_whipplei_TW0827	77.327	80.829	83.526	80.674
Chlamydia_trachomatis	81.435	80.271	84.594	84.621
Methanopyrus_kandleri	79.621	80.36	83.702	84.306
Pseudomonas_syringae_pv._tomato	84.214	77.774	80.514	81.229
Shigella_flexneri	83.541	73.562	76.916	80.267
Bacillus_anthracis_str._Ames	79.405	78.962	83.877	83.237
Gloeobacter_violaceus	83.666	80.388	84.262	79.946
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	90.862	NA	90.862
Rickettsia_conorii	85.196	80.97	79.486	83.51
Leishmania_major	73.538	79.211	82.896	77.472
Thermoplasma_volcanium	79.891	84.539	84.384	80.937
Pseudomonas_aeruginosa	79.451	75.116	83.356	79.237
Helicobacter_hepaticus	80.123	84.564	84.305	79.376
Streptococcus_agalactiae_serogroup_III	83.154	73.729	79.124	77.62
Mycoplasma_genitalium	77.148	77.087	82.665	81.957
Haemophilus_influenzae	78.24	81.231	77.086	82.792
Pasteurella_multocida	81.617	78.24	82.855	84.954
Prochlorococcus_marinus	84.11	80.285	83.966	80.811
Corynebacterium_glutamicum	78.98	84.923	81.207	82.649
Archaeoglobus_fulgidus	84.039	82.071	80.881	85.791
Bacillus_subtilis	85.083	80.853	84.364	81.779
Staphylococcus_aureus_subsp._aureus_N315	88.901	NA	88.901	NA
Corynebacterium_efficiens	82.863	76.725	78.465	80.7
Geobacter_sulfurreducens	83.488	79.341	80.565	84.316
Yersinia_pestis_KIM	81.377	80.915	77.971	84.725
Bacillus_cereus_ATCC_10987	78.734	82.427	77.714	83.3
Pseudomonas_putida_KT2440	84.62	80.657	78.537	82.638
Sinorhizobium_meliloti	82.702	79.792	78.924	84.056
Lactobacillus_johnsonii	76.943	82.444	81.529	78.625
Chlamydophila_pneumoniae_CWL029	82.665	86.824	86.219	81.642
Streptomyces_coelicolor	76.894	81.938	82.861	76.147
Helicobacter_pylori	78.666	82.053	83.089	77.629
Buchnera_aphidicola_Schizaphis_graminum	NA	88.152	NA	88.152
Rickettsia_prowazekii	76.696	83.808	79.16	85.18
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	88.919	NA	88.919	NA
Synechococcus_sp._WH_8102	80.834	81.392	84.724	85.128
Nitrosomonas_europaea	81.384	77.256	84.521	81.121
Mycoplasma_penetrans	74.392	75.428	80.449	81.799
Rhodopseudomonas_palustris	83.967	79.434	84.093	79.653
Chlamydophila_pneumoniae_AR39	79.199	84.285	80.314	84.139
Escherichia_coli	79.905	83.243	80.629	84.411
Xylella_fastidiosa_Temecula1	79.933	84.16	81.244	76.43
Treponema_denticola	78.411	80.998	84.296	82.699
