strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	19970	18852	18852	19970
Shigella_flexneri_2a_str._2457T	12202	12202	21299	21299
Porphyromonas_gingivalis	24116	24116	14619	14619
Corynebacterium_diphtheriae	19305	19305	22408	22408
Mycobacterium_leprae	19595	15457	19595	15457
Chlorobaculum_tepidum	26388	20764	20764	26388
not	2228	574	942	900
Enterococcus_faecalis	24022	19780	24022	19780
Tropheryma_whipplei_str._Twist	14306	23884	23884	14306
Escherichia_coli_O157_H7	19751	24569	19751	24569
Thermoplasma_acidophilum	27636	29131	29131	27636
Fibrobacter_succinogenes_subsp._succinogenes_S85	26334	NA	26334	NA
Sulfolobus_tokodaii	17226	17226	12513	12513
Chromobacterium_violaceum	17428	19592	19592	17428
Neisseria_meningitidis_serogroup_A	23187	9982	9982	23187
Neisseria_meningitidis_serogroup_B	35188	35188	8923	8923
Mycoplasma_pneumoniae	24974	24974	12815	12815
Bifidobacterium_longum	21374	19915	21374	19915
Synechocystis_sp._PCC_6803	17418	17418	19737	19737
Pyrococcus_horikoshii	24281	24281	30030	30030
Bordetella_parapertussis	17865	15978	15978	17865
Photorhabdus_luminescens_subsp._laumondii	17142	NA	17142	NA
Thermotoga_maritima	18052	18052	21593	21593
Streptococcus_agalactiae_serogroup_V	19480	23889	19480	23889
Lactobacillus_plantarum	18710	18710	25800	25800
Listeria_monocytogenes	24294	20372	20372	24294
Methanosarcina_mazei	13383	21281	21281	13383
Oceanobacillus_iheyensis	22189	22189	23811	23811
Chlamydophila_caviae	18687	18687	19646	19646
Solibacter_usitatus_Ellin6076	22257	17510	17510	22257
Caenorhabditis_briggsae	8062	8062	11972	11972
Prochlorococcus_marinus_str._MIT_9313	21008	22096	22096	21008
Mycoplasma_mobile_163K	14440	15080	14440	15080
Tropheryma_whipplei_TW0827	12549	17934	12549	17934
Chlamydia_trachomatis	24596	17771	17771	24596
Methanopyrus_kandleri	23649	23649	22336	22209
Pseudomonas_syringae_pv._tomato	17206	22828	17206	22828
Shigella_flexneri	25257	12934	12934	25257
Rhodopseudomonas_palustris	19790	19790	21108	21108
Gloeobacter_violaceus	18375	20297	20297	18375
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	22252	NA	22252
Rickettsia_conorii	19044	19044	21607	21607
Leishmania_major	11623	21972	21972	11623
Thermoplasma_volcanium	22611	21071	21071	22611
Pseudomonas_aeruginosa	18487	20625	20625	18487
Helicobacter_hepaticus	26185	26185	21064	21064
Streptococcus_agalactiae_serogroup_III	19983	19983	16685	16685
Mycoplasma_genitalium	15847	21308	21308	15847
Haemophilus_influenzae	13160	14302	13160	14302
Pasteurella_multocida	21257	25414	21257	25414
Prochlorococcus_marinus	30485	21387	21387	30485
Corynebacterium_glutamicum	24661	24661	19976	19976
Archaeoglobus_fulgidus	24764	20974	24764	20974
Staphylococcus_aureus_subsp._aureus_N315	NA	14879	NA	14879
Corynebacterium_efficiens	22543	18046	18046	22543
Geobacter_sulfurreducens	20991	24420	24420	20991
Yersinia_pestis_KIM	27371	15708	15708	27371
Bacillus_cereus_ATCC_10987	14103	13048	13048	14103
Pseudomonas_putida_KT2440	18919	23211	18919	23211
Sinorhizobium_meliloti	19971	19971	15341	15341
Lactobacillus_johnsonii	21003	16370	16370	21003
Chlamydophila_pneumoniae_CWL029	20518	21027	21027	20518
Streptomyces_coelicolor	16411	14993	16411	14993
Helicobacter_pylori	19000	13785	19000	13785
Dehalococcoides_ethenogenes_195	22716	23301	22716	23301
Rickettsia_prowazekii	17686	15708	15708	17686
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	12041	NA	12041	NA
Synechococcus_sp._WH_8102	27533	23491	23491	27533
Nitrosomonas_europaea	23887	23887	12836	12836
Mycoplasma_penetrans	13706	10408	13706	10408
Bacillus_anthracis_str._Ames	21757	21757	18969	18969
Chlamydophila_pneumoniae_AR39	14230	14230	14065	14065
Escherichia_coli	20155	22082	20155	22082
Xylella_fastidiosa_Temecula1	17876	17876	25380	25380
Treponema_denticola	20369	20369	18522	18522
Helicobacter_pylori_J99	19917	15859	15859	19917
Bacillus_cereus_ATCC_14579	17924	18739	18739	17924
Mycobacterium_avium_subsp._paratuberculosis	NA	15603	NA	15603
Sulfolobus_solfataricus	19865	10573	19865	10573
Lactococcus_lactis_subsp._lactis	15839	21102	21102	15839
Xanthomonas_axonopodis_pv._citri	20140	18326	20140	18326
Borrelia_burgdorferi	13402	11366	11366	13402
Staphylococcus_aureus_subsp._aureus_MW2	17561	NA	17561	NA
Bordetella_bronchiseptica	19799	19799	17427	17427
Mycobacterium_tuberculosis_CDC1551	13229	15951	15951	13229
Buchnera_aphidicola_Schizaphis_graminum	NA	15222	NA	15222
Haemophilus_ducreyi	23162	18689	23162	18689
Mycobacterium_tuberculosis_H37Rv	19246	16159	19246	16159
Clostridium_tetani	19701	19701	18482	18482
Pyrococcus_furiosus	20652	16670	16670	20652
Acidobacterium_capsulatum_ATCC_51196	20315	24312	20315	24312
Xanthomonas_campestris_pv._campestris	15818	19492	15818	19492
Streptococcus_pneumoniae_R6	14453	14453	22566	22566
Wolinella_succinogenes	26370	21084	26370	21084
Streptococcus_pyogenes_MGAS315	16899	19576	16899	19576
Methanosarcina_acetivorans	12986	12986	23177	23177
Streptococcus_pyogenes	22234	22234	18523	18523
Aquifex_aeolicus	21271	23109	21271	23109
Clostridium_acetobutylicum	16780	16780	16881	16881
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	NA	19889	NA	19889
Streptococcus_pneumoniae	13647	21586	13647	21586
Methanococcus_maripaludis	20609	18956	20609	18956
Cyanidioschyzon_merolae	25073	14395	14395	25073
Clostridium_perfringens	14713	14713	15451	15451
Streptococcus_pyogenes_MGAS8232	19238	19238	25555	25555
Ralstonia_solanacearum	18905	20526	20526	18905
Ureaplasma_parvum	14423	14423	17723	17723
Mycoplasma_gallisepticum	19104	19104	13069	13069
Methanocaldococcus_jannaschii	17294	13011	13011	17294
Staphylococcus_epidermidis	18088	21020	18088	21020
Buchnera_aphidicola_Acyrthosiphon_pisum	NA	16928	NA	16928
Mycoplasma_mycoides_subsp._mycoides_SC	11618	8016	11618	8016
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	24195	NA	24195
Escherichia_coli_O157_H7_EDL933	23420	23420	18218	18218
Bordetella_pertussis	15674	16060	9862	9862
Streptococcus_pyogenes_SSI-1	24427	20724	24427	20724
Aeropyrum_pernix	21192	21192	25913	25913
