strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	12204	14603	14603	12204
Shigella_flexneri_2a_str._2457T	10221	10221	18722	18722
Porphyromonas_gingivalis	19482	12545	19482	12545
Corynebacterium_diphtheriae	15577	15577	18531	18531
Photorhabdus_luminescens_subsp._laumondii	9999	NA	9999	NA
Chlorobaculum_tepidum	20228	17536	20228	17536
Enterococcus_faecalis	14680	13103	14680	13103
Tropheryma_whipplei_str._Twist	15806	15806	11018	11018
Escherichia_coli_O157_H7	13440	13440	18317	18317
Thermoplasma_acidophilum	18572	19703	19703	18572
Fibrobacter_succinogenes_subsp._succinogenes_S85	15986	NA	15986	NA
Sulfolobus_tokodaii	13382	9490	9490	13382
Chromobacterium_violaceum	15030	13745	15030	13745
Neisseria_meningitidis_serogroup_A	8642	18332	8642	18332
Neisseria_meningitidis_serogroup_B	16759	7542	7542	16759
Mycoplasma_pneumoniae	18579	18579	11274	11274
Bifidobacterium_longum	14312	13038	14312	13038
Synechocystis_sp._PCC_6803	15403	15403	16305	16305
Pyrococcus_horikoshii	16852	16852	20086	20086
Bordetella_parapertussis	12192	13759	12192	13759
Mycobacterium_leprae	14202	10861	14202	10861
Thermotoga_maritima	15918	15918	15042	15042
Streptococcus_agalactiae_serogroup_V	15600	18490	18490	15600
Lactobacillus_plantarum	14826	17876	17876	14826
Listeria_monocytogenes	15539	13996	13996	15539
Methanosarcina_mazei	11419	11419	16483	16103
Oceanobacillus_iheyensis	14671	16038	16038	14671
Chlamydophila_caviae	12951	13724	12951	13724
Solibacter_usitatus_Ellin6076	15684	13585	13625	15684
Shigella_flexneri	16512	9396	16512	9396
Prochlorococcus_marinus_str._MIT_9313	14848	14848	17241	17241
Mycoplasma_mobile_163K	9784	9784	10783	10783
Mycoplasma_genitalium	13477	14217	14217	13477
Chlamydia_trachomatis	12507	13168	12507	13168
Methanopyrus_kandleri	15387	13416	15387	13416
Pseudomonas_syringae_pv._tomato	13606	16910	13606	16910
Caenorhabditis_briggsae	6387	9440	6387	9440
Rhodopseudomonas_palustris	14957	14957	14518	14518
Xanthomonas_campestris_pv._campestris	13747	12090	13747	12090
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	19271	NA	19271
Rickettsia_conorii	16352	15936	15936	16352
Leishmania_major	10176	17077	17077	10176
Thermoplasma_volcanium	15485	13048	15485	13048
Pseudomonas_aeruginosa	12763	12763	15689	15689
Helicobacter_hepaticus	15321	15321	14071	14071
Streptococcus_agalactiae_serogroup_III	11002	13367	13367	11002
Tropheryma_whipplei_TW0827	16849	12427	16849	12427
Haemophilus_influenzae	10503	11460	10503	11460
Pasteurella_multocida	18814	19804	19804	18814
Prochlorococcus_marinus	16837	16837	15294	15294
Corynebacterium_glutamicum	18434	15235	15235	18434
Archaeoglobus_fulgidus	16799	13997	16799	13997
Bacillus_subtilis	18956	20499	20499	18956
Staphylococcus_aureus_subsp._aureus_N315	11169	NA	11169	NA
Corynebacterium_efficiens	15797	13837	15797	13837
Geobacter_sulfurreducens	15404	17152	17152	15404
Yersinia_pestis_KIM	11840	11840	19817	19817
Bacillus_cereus_ATCC_10987	10341	11564	10341	11564
Pseudomonas_putida_KT2440	15134	15134	17434	17434
Sinorhizobium_meliloti	12741	15800	12741	15800
Lactobacillus_johnsonii	14105	16110	14105	16110
Chlamydophila_pneumoniae_CWL029	19564	19564	17437	17437
Streptomyces_coelicolor	11369	12031	12031	11369
Helicobacter_pylori	13600	13600	12145	12145
Dehalococcoides_ethenogenes_195	20163	20163	16941	16941
Rickettsia_prowazekii	12092	13158	12092	13158
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	9370	NA	9370	NA
Synechococcus_sp._WH_8102	17565	14684	14684	17565
Nitrosomonas_europaea	16145	16145	11439	11439
Mycoplasma_penetrans	8535	11223	8535	11223
Bacillus_anthracis_str._Ames	15597	15133	15597	15133
Chlamydophila_pneumoniae_AR39	11113	11113	11133	11133
Escherichia_coli	15662	18117	15662	18117
Xylella_fastidiosa_Temecula1	13872	19327	13872	19327
Treponema_denticola	16527	13960	13960	16527
Helicobacter_pylori_J99	15707	11911	11911	15707
Bacillus_cereus_ATCC_14579	13785	15503	15503	13785
Mycobacterium_avium_subsp._paratuberculosis	NA	13769	NA	13769
Sulfolobus_solfataricus	15001	8245	15001	8245
Lactococcus_lactis_subsp._lactis	11422	15112	15112	11422
Xanthomonas_axonopodis_pv._citri	12349	12349	13163	13163
Borrelia_burgdorferi	9630	9753	9630	9753
Staphylococcus_aureus_subsp._aureus_MW2	11640	NA	11640	NA
Bordetella_bronchiseptica	14519	14519	11862	11862
Mycobacterium_tuberculosis_CDC1551	10913	12154	12154	10913
Buchnera_aphidicola_Schizaphis_graminum	NA	13586	NA	13586
Haemophilus_ducreyi	15496	12823	15496	12823
Mycobacterium_tuberculosis_H37Rv	15627	13113	15627	13113
Clostridium_tetani	10799	10799	12076	12076
Streptococcus_pyogenes_SSI-1	16776	16776	15307	15307
Acidobacterium_capsulatum_ATCC_51196	15021	16757	15021	16757
Gloeobacter_violaceus	14953	14953	18454	18454
Streptococcus_pneumoniae_R6	14591	14591	11221	11221
Wolinella_succinogenes	20039	20039	16254	16254
Streptococcus_pyogenes_MGAS315	15658	13365	15658	13365
Methanosarcina_acetivorans	9642	9642	16225	16225
Streptococcus_pyogenes	14059	14059	14502	14502
Aquifex_aeolicus	16568	16647	16647	16568
Clostridium_acetobutylicum	12214	12430	12430	12214
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	NA	16357	NA	16357
Streptococcus_pneumoniae	11691	16193	16193	11691
Onion_yellows_phytoplasma	10645	10645	7212	7212
Cyanidioschyzon_merolae	17465	10871	10871	17465
Clostridium_perfringens	10053	10053	10454	10454
Streptococcus_pyogenes_MGAS8232	14565	14565	19392	19392
Ralstonia_solanacearum	12942	15221	15221	12942
Ureaplasma_parvum	10560	12660	10560	12660
Mycoplasma_gallisepticum	13987	9722	13987	9722
Methanocaldococcus_jannaschii	12127	11686	12127	11686
Staphylococcus_epidermidis	14629	14629	11632	11632
Buchnera_aphidicola_Acyrthosiphon_pisum	11959	NA	11959	NA
Mycoplasma_mycoides_subsp._mycoides_SC	8937	8937	5626	5626
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	18085	NA	18085
Escherichia_coli_O157_H7_EDL933	17478	17478	12824	12824
Bordetella_pertussis	12789	8462	8462	12789
Pyrococcus_furiosus	16759	14022	14022	16759
Aeropyrum_pernix	22580	22580	23832	23832
Wolbachia_sp._wMel	7971	7971	13884	13884
Pyrococcus_abyssi	17253	17253	17757	17757
Shewanella_oneidensis	12606	17643	17643	12606
Mycobacterium_bovis	12522	15405	12522	15405
Streptococcus_mutans	13066	13066	15617	15617
Vibrio_cholerae	14393	16589	14393	16589
Coxiella_burnetii	18746	18746	9979	9979
Chlamydophila_pneumoniae_TW-183	16908	15936	16908	15936
Candidatus_Blochmannia_floridanus	14467	14467	15993	15993
Pyrobaculum_aerophilum	20379	15978	15978	20379
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	12746	NA	12746	NA
Listeria_monocytogenes_str._4b_F2365	14357	13533	14357	13533
Listeria_innocua	14785	14785	14611	14611
Mycoplasma_pulmonis	11859	10547	11859	10547
Yersinia_pestis	12570	19069	12570	19069
Treponema_pallidum	13916	13916	14388	14388
Streptomyces_avermitilis	11009	11124	12280	12280
Staphylococcus_aureus_subsp._aureus_Mu50	12444	NA	12444	NA
Xylella_fastidiosa	14396	18694	18694	14396
Buchnera_aphidicola_Baizongia_pistaciae	NA	12571	NA	12571
Thermoanaerobacter_tengcongensis	16121	10360	16121	10360
Bradyrhizobium_japonicum	14804	13846	14804	13846
Corynebacterium_glutamicum_ATCC_13032	20443	17043	20443	17043
Caulobacter_vibrioides	11932	11932	13643	13643
Methanococcus_maripaludis	14511	14511	12582	12582
Mesorhizobium_loti	14940	14940	15254	15254
Fusobacterium_nucleatum_subsp._nucleatum	NA	12205	NA	12205
Bdellovibrio_bacteriovorus	18385	19008	19008	18385
Nanoarchaeum_equitans	13677	12586	12586	13677
Chlamydia_muridarum	17305	17926	17926	17305
Salmonella_typhi	17216	14810	17216	14810
Bacillus_halodurans	13186	17437	13186	17437
Bacteroides_thetaiotaomicron	16611	14949	16611	14949
Synechococcus_elongatus	19332	18356	18356	19332
Thermus_thermophilus_HB27	13018	14236	13018	14236

