Acidobacterium_capsulatum_ATCC_51196_0970 quast_consensus	['964']
Acidobacterium_capsulatum_ATCC_51196_ancestor quast_consensus	['955']
Acidobacterium_capsulatum_ATCC_51196_0970 quast_strain	['925']
Acidobacterium_capsulatum_ATCC_51196_ancestor quast_strain	['921']
Aeropyrum_pernix_0970 quast_consensus	['954']
Aeropyrum_pernix_ancestor quast_consensus	['951']
Aeropyrum_pernix_0970 quast_strain	['927']
Aeropyrum_pernix_ancestor quast_strain	['913']
Aquifex_aeolicus_0970 quast_consensus	['966']
Aquifex_aeolicus_ancestor quast_consensus	['946']
Aquifex_aeolicus_0970 quast_strain	['929']
Aquifex_aeolicus_ancestor quast_strain	['901']
Archaeoglobus_fulgidus_0970 quast_consensus	['980']
Archaeoglobus_fulgidus_ancestor quast_consensus	['940']
Archaeoglobus_fulgidus_0970 quast_strain	['937']
Archaeoglobus_fulgidus_ancestor quast_strain	['906']
Bacillus_anthracis_str._Ames_0970 quast_consensus	['947']
Bacillus_anthracis_str._Ames_ancestor quast_consensus	['940']
Bacillus_anthracis_str._Ames_ancestor quast_strain	['896']
Bacillus_anthracis_str._Ames_0970 quast_strain	['900']
Bacillus_cereus_ATCC_10987_ancestor quast_consensus	['920']
Bacillus_cereus_ATCC_10987_0970 quast_consensus	['927']
Bacillus_cereus_ATCC_10987_0970 quast_strain	['877']
Bacillus_cereus_ATCC_10987_ancestor quast_strain	['865']
Bacillus_cereus_ATCC_14579_ancestor quast_consensus	['920']
Bacillus_cereus_ATCC_14579_0970 quast_consensus	['930']
Bacillus_cereus_ATCC_14579_ancestor quast_strain	['866']
Bacillus_cereus_ATCC_14579_0970 quast_strain	['884']
Bacillus_halodurans_0970 quast_consensus	['961']
Bacillus_halodurans_ancestor quast_consensus	['948']
Bacillus_halodurans_ancestor quast_strain	['919']
Bacillus_halodurans_0970 quast_strain	['926']
Bacillus_subtilis_ancestor quast_consensus	['988']
Bacillus_subtilis_0970 quast_consensus	['994']
Bacillus_subtilis_ancestor quast_strain	['950']
Bacillus_subtilis_0970 quast_strain	['955']
Bacteroides_thetaiotaomicron_ancestor quast_consensus	['972']
Bacteroides_thetaiotaomicron_0970 quast_consensus	['984']
Bacteroides_thetaiotaomicron_ancestor quast_strain	['936']
Bacteroides_thetaiotaomicron_0970 quast_strain	['945']
Bdellovibrio_bacteriovorus_0970 quast_consensus	['976']
Bdellovibrio_bacteriovorus_ancestor quast_consensus	['989']
Bdellovibrio_bacteriovorus_ancestor quast_strain	['944']
Bdellovibrio_bacteriovorus_0970 quast_strain	['937']
Bifidobacterium_longum_0970 quast_consensus	['958']
Bifidobacterium_longum_ancestor quast_consensus	['928']
Bifidobacterium_longum_ancestor quast_strain	['894']
Bifidobacterium_longum_0970 quast_strain	['910']
Bordetella_bronchiseptica_ancestor quast_consensus	['891']
Bordetella_bronchiseptica_0970 quast_consensus	['912']
Bordetella_bronchiseptica_ancestor quast_strain	['839']
Bordetella_bronchiseptica_0970 quast_strain	['865']
Bordetella_parapertussis_0970 quast_consensus	['917']
Bordetella_parapertussis_ancestor quast_consensus	['911']
Bordetella_parapertussis_0970 quast_strain	['881']
Bordetella_parapertussis_ancestor quast_strain	['867']
Bordetella_pertussis_0970 quast_consensus	['889']
Bordetella_pertussis_ancestor quast_consensus	['860']
Bordetella_pertussis_0970 quast_strain	['842']
Bordetella_pertussis_ancestor quast_strain	['811']
Borrelia_burgdorferi_ancestor quast_consensus	['888']
Borrelia_burgdorferi_0970 quast_consensus	['873']
Borrelia_burgdorferi_ancestor quast_strain	['830']
Borrelia_burgdorferi_0970 quast_strain	['817']
Bradyrhizobium_japonicum_ancestor quast_consensus	['937']
Bradyrhizobium_japonicum_0970 quast_consensus	['941']
Bradyrhizobium_japonicum_ancestor quast_strain	['896']
Bradyrhizobium_japonicum_0970 quast_strain	['896']
Buchnera_aphidicola_Acyrthosiphon_pisum_ancestor quast_consensus	['1280']
Buchnera_aphidicola_Acyrthosiphon_pisum_ancestor quast_strain	['1280']
Buchnera_aphidicola_Baizongia_pistaciae_ancestor quast_consensus	['1195']
Buchnera_aphidicola_Baizongia_pistaciae_ancestor quast_strain	['1195']
Buchnera_aphidicola_Schizaphis_graminum_0970 quast_consensus	['1291']
Buchnera_aphidicola_Schizaphis_graminum_0970 quast_strain	['1291']
Caenorhabditis_briggsae_ancestor quast_consensus	['841']
Caenorhabditis_briggsae_0970 quast_consensus	['901']
Caenorhabditis_briggsae_ancestor quast_strain	['795']
Caenorhabditis_briggsae_0970 quast_strain	['860']
Campylobacter_jejuni_0970 quast_consensus	['917']
Campylobacter_jejuni_ancestor quast_consensus	['921']
Campylobacter_jejuni_ancestor quast_strain	['857']
Campylobacter_jejuni_0970 quast_strain	['851']
Candidatus_Blochmannia_floridanus_ancestor quast_consensus	['922']
Candidatus_Blochmannia_floridanus_0970 quast_consensus	['925']
Candidatus_Blochmannia_floridanus_ancestor quast_strain	['856']
Candidatus_Blochmannia_floridanus_0970 quast_strain	['856']
Caulobacter_vibrioides_ancestor quast_consensus	['928']
Caulobacter_vibrioides_0970 quast_consensus	['926']
Caulobacter_vibrioides_ancestor quast_strain	['880']
Caulobacter_vibrioides_0970 quast_strain	['880']
Chlamydia_muridarum_0970 quast_consensus	['978']
Chlamydia_muridarum_ancestor quast_consensus	['990']
Chlamydia_muridarum_ancestor quast_strain	['939']
Chlamydia_muridarum_0970 quast_strain	['953']
Chlamydia_trachomatis_ancestor quast_consensus	['963']
Chlamydia_trachomatis_0970 quast_consensus	['938']
Chlamydia_trachomatis_0970 quast_strain	['911']
Chlamydia_trachomatis_ancestor quast_strain	['918']
Chlamydophila_caviae_0970 quast_consensus	['968']
Chlamydophila_caviae_ancestor quast_consensus	['977']
Chlamydophila_caviae_0970 quast_strain	['952']
Chlamydophila_caviae_ancestor quast_strain	['946']
Chlamydophila_pneumoniae_AR39_ancestor quast_consensus	['976']
Chlamydophila_pneumoniae_AR39_0970 quast_consensus	['966']
Chlamydophila_pneumoniae_AR39_ancestor quast_strain	['942']
Chlamydophila_pneumoniae_AR39_0970 quast_strain	['914']
Chlamydophila_pneumoniae_CWL029_0970 quast_consensus	['1005']
Chlamydophila_pneumoniae_CWL029_ancestor quast_consensus	['1005']
Chlamydophila_pneumoniae_CWL029_ancestor quast_strain	['939']
Chlamydophila_pneumoniae_CWL029_0970 quast_strain	['964']
Chlamydophila_pneumoniae_TW-183_ancestor quast_consensus	['1004']
Chlamydophila_pneumoniae_TW-183_0970 quast_consensus	['996']
Chlamydophila_pneumoniae_TW-183_0970 quast_strain	['955']
Chlamydophila_pneumoniae_TW-183_ancestor quast_strain	['965']
Chlorobaculum_tepidum_0970 quast_consensus	['967']
Chlorobaculum_tepidum_ancestor quast_consensus	['963']
Chlorobaculum_tepidum_ancestor quast_strain	['930']
Chlorobaculum_tepidum_0970 quast_strain	['931']
Chromobacterium_violaceum_0970 quast_consensus	['944']
Chromobacterium_violaceum_ancestor quast_consensus	['942']
Chromobacterium_violaceum_0970 quast_strain	['897']
Chromobacterium_violaceum_ancestor quast_strain	['894']
Clostridium_acetobutylicum_0970 quast_consensus	['939']
Clostridium_acetobutylicum_ancestor quast_consensus	['927']
Clostridium_acetobutylicum_ancestor quast_strain	['864']
Clostridium_acetobutylicum_0970 quast_strain	['883']
Clostridium_perfringens_ancestor quast_consensus	['932']
Clostridium_perfringens_0970 quast_consensus	['936']
Clostridium_perfringens_ancestor quast_strain	['860']
Clostridium_perfringens_0970 quast_strain	['876']
Clostridium_tetani_ancestor quast_consensus	['930']
Clostridium_tetani_0970 quast_consensus	['938']
Clostridium_tetani_0970 quast_strain	['878']
Clostridium_tetani_ancestor quast_strain	['867']
Corynebacterium_diphtheriae_ancestor quast_consensus	['948']
Corynebacterium_diphtheriae_0970 quast_consensus	['955']
Corynebacterium_diphtheriae_0970 quast_strain	['923']
Corynebacterium_diphtheriae_ancestor quast_strain	['920']
Corynebacterium_efficiens_ancestor quast_consensus	['914']
Corynebacterium_efficiens_0970 quast_consensus	['940']
Corynebacterium_efficiens_ancestor quast_strain	['864']
Corynebacterium_efficiens_0970 quast_strain	['891']
Corynebacterium_glutamicum_ancestor quast_consensus	['934']
Corynebacterium_glutamicum_0970 quast_consensus	['960']
Corynebacterium_glutamicum_0970 quast_strain	['915']
Corynebacterium_glutamicum_ancestor quast_strain	['898']
Corynebacterium_glutamicum_ATCC_13032_ancestor quast_consensus	['943']
Corynebacterium_glutamicum_ATCC_13032_0970 quast_consensus	['953']
Corynebacterium_glutamicum_ATCC_13032_ancestor quast_strain	['903']
Corynebacterium_glutamicum_ATCC_13032_0970 quast_strain	['919']
Coxiella_burnetii_0970 quast_consensus	['920']
Coxiella_burnetii_ancestor quast_consensus	['883']
Coxiella_burnetii_0970 quast_strain	['885']
Coxiella_burnetii_ancestor quast_strain	['854']
Cyanidioschyzon_merolae_0970 quast_consensus	['964']
Cyanidioschyzon_merolae_ancestor quast_consensus	['904']
Cyanidioschyzon_merolae_0970 quast_strain	['930']
Cyanidioschyzon_merolae_ancestor quast_strain	['856']
Dehalococcoides_ethenogenes_195_0970 quast_consensus	['939']
Dehalococcoides_ethenogenes_195_ancestor quast_consensus	['914']
Dehalococcoides_ethenogenes_195_ancestor quast_strain	['877']
Dehalococcoides_ethenogenes_195_0970 quast_strain	['903']
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough_0970 quast_consensus	['1334']
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough_0970 quast_strain	['1334']
Enterococcus_faecalis_0970 quast_consensus	['974']
Enterococcus_faecalis_ancestor quast_consensus	['963']
Enterococcus_faecalis_0970 quast_strain	['914']
Enterococcus_faecalis_ancestor quast_strain	['912']
Escherichia_coli_ancestor quast_consensus	['935']
Escherichia_coli_0970 quast_consensus	['955']
Escherichia_coli_ancestor quast_strain	['906']
Escherichia_coli_0970 quast_strain	['920']
Escherichia_coli_O157_H7_0970 quast_consensus	['965']
Escherichia_coli_O157_H7_ancestor quast_consensus	['909']
Escherichia_coli_O157_H7_0970 quast_strain	['927']
Escherichia_coli_O157_H7_ancestor quast_strain	['876']
Escherichia_coli_O157_H7_EDL933_ancestor quast_consensus	['906']
Escherichia_coli_O157_H7_EDL933_0970 quast_consensus	['962']
Escherichia_coli_O157_H7_EDL933_0970 quast_strain	['933']
Escherichia_coli_O157_H7_EDL933_ancestor quast_strain	['864']
Fibrobacter_succinogenes_subsp._succinogenes_S85_ancestor quast_consensus	['1410']
Fibrobacter_succinogenes_subsp._succinogenes_S85_ancestor quast_strain	['1410']
Fusobacterium_nucleatum_subsp._nucleatum_0970 quast_consensus	['1212']
Fusobacterium_nucleatum_subsp._nucleatum_0970 quast_strain	['1212']
Geobacter_sulfurreducens_0970 quast_consensus	['957']
Geobacter_sulfurreducens_ancestor quast_consensus	['959']
Geobacter_sulfurreducens_0970 quast_strain	['920']
Geobacter_sulfurreducens_ancestor quast_strain	['914']
Gloeobacter_violaceus_ancestor quast_consensus	['948']
Gloeobacter_violaceus_0970 quast_consensus	['952']
Gloeobacter_violaceus_ancestor quast_strain	['909']
Gloeobacter_violaceus_0970 quast_strain	['913']
Haemophilus_ducreyi_0970 quast_consensus	['942']
Haemophilus_ducreyi_ancestor quast_consensus	['922']
Haemophilus_ducreyi_ancestor quast_strain	['886']
Haemophilus_ducreyi_0970 quast_strain	['906']
Haemophilus_influenzae_ancestor quast_consensus	['908']
Haemophilus_influenzae_0970 quast_consensus	['923']
Haemophilus_influenzae_0970 quast_strain	['871']
Haemophilus_influenzae_ancestor quast_strain	['865']
Helicobacter_hepaticus_ancestor quast_consensus	['949']
Helicobacter_hepaticus_0970 quast_consensus	['946']
Helicobacter_hepaticus_ancestor quast_strain	['904']
Helicobacter_hepaticus_0970 quast_strain	['887']
Helicobacter_pylori_ancestor quast_consensus	['963']
Helicobacter_pylori_0970 quast_consensus	['975']
Helicobacter_pylori_ancestor quast_strain	['908']
Helicobacter_pylori_0970 quast_strain	['919']
Helicobacter_pylori_J99_0970 quast_consensus	['957']
Helicobacter_pylori_J99_ancestor quast_consensus	['908']
Helicobacter_pylori_J99_0970 quast_strain	['920']
Helicobacter_pylori_J99_ancestor quast_strain	['853']
Lactobacillus_johnsonii_ancestor quast_consensus	['930']
Lactobacillus_johnsonii_0970 quast_consensus	['938']
Lactobacillus_johnsonii_0970 quast_strain	['889']
Lactobacillus_johnsonii_ancestor quast_strain	['871']
Lactobacillus_plantarum_0970 quast_consensus	['979']
Lactobacillus_plantarum_ancestor quast_consensus	['968']
Lactobacillus_plantarum_ancestor quast_strain	['931']
Lactobacillus_plantarum_0970 quast_strain	['945']
Lactococcus_lactis_subsp._lactis_0970 quast_consensus	['953']
Lactococcus_lactis_subsp._lactis_ancestor quast_consensus	['932']
Lactococcus_lactis_subsp._lactis_0970 quast_strain	['901']
Lactococcus_lactis_subsp._lactis_ancestor quast_strain	['890']
Leishmania_major_ancestor quast_consensus	['878']
Leishmania_major_0970 quast_consensus	['944']
Leishmania_major_0970 quast_strain	['896']
Leishmania_major_ancestor quast_strain	['831']
Listeria_innocua_0970 quast_consensus	['932']
Listeria_innocua_ancestor quast_consensus	['910']
Listeria_innocua_0970 quast_strain	['893']
Listeria_innocua_ancestor quast_strain	['870']
Listeria_monocytogenes_0970 quast_consensus	['989']
Listeria_monocytogenes_ancestor quast_consensus	['966']
Listeria_monocytogenes_ancestor quast_strain	['917']
Listeria_monocytogenes_0970 quast_strain	['935']
Listeria_monocytogenes_str._4b_F2365_0970 quast_consensus	['950']
Listeria_monocytogenes_str._4b_F2365_ancestor quast_consensus	['951']
Listeria_monocytogenes_str._4b_F2365_ancestor quast_strain	['900']
Listeria_monocytogenes_str._4b_F2365_0970 quast_strain	['910']
Mesorhizobium_loti_ancestor quast_consensus	['954']
Mesorhizobium_loti_0970 quast_consensus	['953']
Mesorhizobium_loti_ancestor quast_strain	['908']
Mesorhizobium_loti_0970 quast_strain	['915']
Methanocaldococcus_jannaschii_0970 quast_consensus	['941']
Methanocaldococcus_jannaschii_ancestor quast_consensus	['945']
Methanocaldococcus_jannaschii_0970 quast_strain	['882']
Methanocaldococcus_jannaschii_ancestor quast_strain	['893']
Methanococcus_maripaludis_ancestor quast_consensus	['927']
Methanococcus_maripaludis_0970 quast_consensus	['930']
Methanococcus_maripaludis_0970 quast_strain	['883']
Methanococcus_maripaludis_ancestor quast_strain	['875']
Methanopyrus_kandleri_0970 quast_consensus	['951']
Methanopyrus_kandleri_ancestor quast_consensus	['964']
Methanopyrus_kandleri_0970 quast_strain	['910']
Methanopyrus_kandleri_ancestor quast_strain	['934']
Methanosarcina_acetivorans_0970 quast_consensus	['959']
Methanosarcina_acetivorans_ancestor quast_consensus	['898']
Methanosarcina_acetivorans_0970 quast_strain	['922']
Methanosarcina_acetivorans_ancestor quast_strain	['863']
Methanosarcina_mazei_0970 quast_consensus	['961']
Methanosarcina_mazei_ancestor quast_consensus	['913']
Methanosarcina_mazei_ancestor quast_strain	['867']
Methanosarcina_mazei_0970 quast_strain	['925']
Methanothermobacter_thermautotrophicus_str._Delta_H_0970 quast_consensus	['1405']
Methanothermobacter_thermautotrophicus_str._Delta_H_0970 quast_strain	['1405']
Mycobacterium_avium_subsp._paratuberculosis_ancestor quast_consensus	['1263']
Mycobacterium_avium_subsp._paratuberculosis_ancestor quast_strain	['1263']
Mycobacterium_bovis_ancestor quast_consensus	['933']
Mycobacterium_bovis_0970 quast_consensus	['941']
Mycobacterium_bovis_0970 quast_strain	['895']
Mycobacterium_bovis_ancestor quast_strain	['889']
Mycobacterium_leprae_ancestor quast_consensus	['931']
Mycobacterium_leprae_0970 quast_consensus	['957']
Mycobacterium_leprae_ancestor quast_strain	['887']
Mycobacterium_leprae_0970 quast_strain	['925']
Mycobacterium_tuberculosis_CDC1551_0970 quast_consensus	['930']
Mycobacterium_tuberculosis_CDC1551_ancestor quast_consensus	['910']
Mycobacterium_tuberculosis_CDC1551_ancestor quast_strain	['870']
Mycobacterium_tuberculosis_CDC1551_0970 quast_strain	['888']
Mycobacterium_tuberculosis_H37Rv_0970 quast_consensus	['908']
Mycobacterium_tuberculosis_H37Rv_ancestor quast_consensus	['906']
Mycobacterium_tuberculosis_H37Rv_ancestor quast_strain	['868']
Mycobacterium_tuberculosis_H37Rv_0970 quast_strain	['869']
Mycoplasma_gallisepticum_ancestor quast_consensus	['891']
Mycoplasma_gallisepticum_0970 quast_consensus	['927']
Mycoplasma_gallisepticum_ancestor quast_strain	['831']
Mycoplasma_gallisepticum_0970 quast_strain	['880']
Mycoplasma_genitalium_0970 quast_consensus	['877']
Mycoplasma_genitalium_ancestor quast_consensus	['866']
Mycoplasma_genitalium_0970 quast_strain	['830']
Mycoplasma_genitalium_ancestor quast_strain	['829']
Mycoplasma_mobile_163K_ancestor quast_consensus	['879']
Mycoplasma_mobile_163K_0970 quast_consensus	['877']
Mycoplasma_mobile_163K_0970 quast_strain	['827']
Mycoplasma_mobile_163K_ancestor quast_strain	['799']
Mycoplasma_mycoides_subsp._mycoides_SC_ancestor quast_consensus	['732']
Mycoplasma_mycoides_subsp._mycoides_SC_0970 quast_consensus	['844']
Mycoplasma_mycoides_subsp._mycoides_SC_0970 quast_strain	['793']
Mycoplasma_mycoides_subsp._mycoides_SC_ancestor quast_strain	['651']
Mycoplasma_penetrans_0970 quast_consensus	['881']
Mycoplasma_penetrans_ancestor quast_consensus	['869']
Mycoplasma_penetrans_0970 quast_strain	['815']
Mycoplasma_penetrans_ancestor quast_strain	['821']
Mycoplasma_pneumoniae_ancestor quast_consensus	['955']
Mycoplasma_pneumoniae_0970 quast_consensus	['989']
Mycoplasma_pneumoniae_0970 quast_strain	['955']
Mycoplasma_pneumoniae_ancestor quast_strain	['909']
Mycoplasma_pulmonis_ancestor quast_consensus	['870']
Mycoplasma_pulmonis_0970 quast_consensus	['890']
Mycoplasma_pulmonis_0970 quast_strain	['855']
Mycoplasma_pulmonis_ancestor quast_strain	['816']
Nanoarchaeum_equitans_ancestor quast_consensus	['930']
Nanoarchaeum_equitans_0970 quast_consensus	['907']
Nanoarchaeum_equitans_ancestor quast_strain	['863']
Nanoarchaeum_equitans_0970 quast_strain	['862']
Neisseria_meningitidis_serogroup_A_ancestor quast_consensus	['871']
Neisseria_meningitidis_serogroup_A_0970 quast_consensus	['949']
Neisseria_meningitidis_serogroup_A_0970 quast_strain	['911']
Neisseria_meningitidis_serogroup_A_ancestor quast_strain	['836']
Neisseria_meningitidis_serogroup_B_0970 quast_consensus	['965']
