strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	142.0	164.0	164.0	142.0
Shigella_flexneri_2a_str._2457T	587.0	587.0	334.0	334.0
Porphyromonas_gingivalis	157.0	157.0	266.0	266.0
Corynebacterium_diphtheriae	204.0	204.0	163.0	163.0
Mycobacterium_leprae	242.0	350.0	242.0	350.0
Chlorobaculum_tepidum	138.0	169.0	169.0	138.0
Enterococcus_faecalis	231.0	284.0	231.0	284.0
Tropheryma_whipplei_str._Twist	127.0	63.0	63.0	127.0
Escherichia_coli_O157_H7	592.0	376.0	592.0	376.0
Thermoplasma_acidophilum	95.0	90.0	90.0	95.0
Fibrobacter_succinogenes_subsp._succinogenes_S85	511.0	NA	511.0	NA
Sulfolobus_tokodaii	247.0	247.0	348.0	348.0
Chromobacterium_violaceum	438.0	386.0	386.0	438.0
Neisseria_meningitidis_serogroup_A	146.0	387.0	387.0	146.0
Neisseria_meningitidis_serogroup_B	142.0	142.0	398.0	398.0
Mycoplasma_pneumoniae	54.0	54.0	111.0	111.0
Bifidobacterium_longum	171.0	210.0	171.0	210.0
Synechocystis_sp._PCC_6803	322.0	322.0	267.0	267.0
Pyrococcus_horikoshii	125.0	125.0	103.0	103.0
Bordetella_parapertussis	413.0	488.0	488.0	413.0
Photorhabdus_luminescens_subsp._laumondii	1239.0	NA	1238.0	NA
Thermotoga_maritima	177.0	177.0	131.0	131.0
Streptococcus_agalactiae_serogroup_V	178.0	149.0	178.0	149.0
Lactobacillus_plantarum	265.0	265.0	214.0	214.0
Listeria_monocytogenes	216.0	234.0	234.0	216.0
Methanosarcina_mazei	500.0	300.0	300.0	500.0
Oceanobacillus_iheyensis	305.0	305.0	263.0	263.0
Chlamydophila_caviae	100.0	100.0	96.0	96.0
Solibacter_usitatus_Ellin6076	747.0	918.0	918.0	747.0
Caenorhabditis_briggsae	3082.0	3082.0	2051.0	2051.0
Prochlorococcus_marinus_str._MIT_9313	191.0	152.0	152.0	191.0
Mycoplasma_mobile_163K	101.0	82.0	101.0	82.0
Tropheryma_whipplei_TW0827	136.0	79.0	136.0	79.0
Chlamydia_trachomatis	75.0	80.0	80.0	75.0
Methanopyrus_kandleri	117.0	117.0	129.0	130.0
Pseudomonas_syringae_pv._tomato	621.0	462.0	621.0	462.0
Shigella_flexneri	312.0	593.0	593.0	312.0
Rhodopseudomonas_palustris	437.0	437.0	453.0	453.0
Gloeobacter_violaceus	452.0	361.0	361.0	452.0
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	255.0	NA	255.0
Rickettsia_conorii	110.0	110.0	105.0	105.0
Leishmania_major	292.0	158.0	158.0	292.0
Thermoplasma_volcanium	115.0	146.0	146.0	115.0
Pseudomonas_aeruginosa	780.0	564.0	564.0	780.0
Helicobacter_hepaticus	134.0	134.0	155.0	155.0
Streptococcus_agalactiae_serogroup_III	180.0	180.0	218.0	218.0
Mycoplasma_genitalium	64.0	44.0	44.0	64.0
Haemophilus_influenzae	228.0	204.0	228.0	204.0
Pasteurella_multocida	175.0	154.0	175.0	154.0
Prochlorococcus_marinus	172.0	239.0	239.0	172.0
Corynebacterium_glutamicum	222.0	222.0	278.0	278.0
Archaeoglobus_fulgidus	142.0	187.0	142.0	187.0
Staphylococcus_aureus_subsp._aureus_N315	NA	572.0	NA	572.0
Corynebacterium_efficiens	242.0	291.0	291.0	242.0
Geobacter_sulfurreducens	296.0	239.0	239.0	296.0
Yersinia_pestis_KIM	303.0	477.0	477.0	303.0
Bacillus_cereus_ATCC_10987	607.0	655.0	655.0	607.0
Pseudomonas_putida_KT2440	532.0	435.0	532.0	435.0
Sinorhizobium_meliloti	299.0	299.0	374.0	374.0
Lactobacillus_johnsonii	166.0	190.0	190.0	166.0
Chlamydophila_pneumoniae_CWL029	80.0	88.0	88.0	80.0
Streptomyces_coelicolor	861.0	983.0	862.0	983.0
Helicobacter_pylori	160.0	208.0	160.0	208.0
Dehalococcoides_ethenogenes_195	111.0	95.0	111.0	95.0
Rickettsia_prowazekii	107.0	113.0	113.0	107.0
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	170.0	NA	170.0	NA
Synechococcus_sp._WH_8102	147.0	180.0	180.0	147.0
Nitrosomonas_europaea	213.0	213.0	303.0	303.0
Mycoplasma_penetrans	153.0	210.0	153.0	210.0
Bacillus_anthracis_str._Ames	388.0	388.0	415.0	415.0
Chlamydophila_pneumoniae_AR39	127.0	127.0	134.0	134.0
Escherichia_coli	481.0	365.0	481.0	365.0
Xylella_fastidiosa_Temecula1	293.0	293.0	162.0	162.0
Treponema_denticola	197.0	197.0	259.0	259.0
Helicobacter_pylori_J99	136.0	182.0	182.0	136.0
Bacillus_cereus_ATCC_14579	475.0	416.0	416.0	475.0
Mycobacterium_avium_subsp._paratuberculosis	NA	987.0	NA	987.0
Sulfolobus_solfataricus	219.0	430.0	219.0	430.0
Lactococcus_lactis_subsp._lactis	276.0	204.0	204.0	276.0
Xanthomonas_axonopodis_pv._citri	431.0	491.0	431.0	491.0
Borrelia_burgdorferi	113.0	117.0	117.0	113.0
Staphylococcus_aureus_subsp._aureus_MW2	567.0	NA	567.0	NA
Bordetella_bronchiseptica	452.0	452.0	537.0	537.0
Mycobacterium_tuberculosis_CDC1551	553.0	449.0	449.0	553.0
Buchnera_aphidicola_Schizaphis_graminum	NA	379.0	NA	380.0
Haemophilus_ducreyi	124.0	149.0	124.0	149.0
Mycobacterium_tuberculosis_H37Rv	361.0	463.0	361.0	463.0
Clostridium_tetani	296.0	296.0	263.0	263.0
Pyrococcus_furiosus	149.0	191.0	191.0	149.0
Acidobacterium_capsulatum_ATCC_51196	333.0	282.0	333.0	282.0
