All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  90       
    # relocations                86       
    # translocations             0        
    # inversions                 4        
# possibly misassembled contigs  38       
# misassembled contigs           20       
Misassembled contigs length      2198687  
# local misassemblies            6        
# mismatches                     26696    
# indels                         55       
    # short indels               55       
    # long indels                0        
Indels length                    57       
