All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  6      
    # relocations                4      
    # translocations             0      
    # inversions                 2      
# possibly misassembled contigs  0      
# misassembled contigs           1      
Misassembled contigs length      82061  
# local misassemblies            0      
# mismatches                     30943  
# indels                         43     
    # short indels               43     
    # long indels                0      
Indels length                    43     
