All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    21       
    # relocations                  17       
    # translocations               0        
    # inversions                   4        
    # interspecies translocations  0        
# possibly misassembled contigs    3        
# misassembled contigs             19       
Misassembled contigs length        1112114  
# local misassemblies              6        
# mismatches                       34304    
# indels                           40       
    # short indels                 29       
    # long indels                  11       
Indels length                      641      
