All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    3        
    # relocations                  0        
    # translocations               0        
    # inversions                   0        
    # interspecies translocations  3        
# possibly misassembled contigs    0        
# misassembled contigs             3        
Misassembled contigs length        405365   
# local misassemblies              2        
# mismatches                       44911    
# indels                           101      
    # short indels                 96       
    # long indels                  5        
Indels length                      186      
