All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    90       
    # relocations                  85       
    # translocations               0        
    # inversions                   4        
    # interspecies translocations  1        
# possibly misassembled contigs    41       
# misassembled contigs             20       
Misassembled contigs length        2198687  
# local misassemblies              6        
# mismatches                       27347    
# indels                           55       
    # short indels                 55       
    # long indels                  0        
Indels length                      57       
