All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  229      
    # relocations                206      
    # translocations             0        
    # inversions                 23       
# possibly misassembled contigs  3        
# misassembled contigs           40       
Misassembled contigs length      4147330  
# local misassemblies            6        
# mismatches                     52543    
# indels                         54       
    # short indels               52       
    # long indels                2        
Indels length                    67       
