All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           contigs
# misassemblies                    3      
    # relocations                  1      
    # translocations               0      
    # inversions                   0      
    # interspecies translocations  2      
# possibly misassembled contigs    0      
# misassembled contigs             2      
Misassembled contigs length        294991 
# local misassemblies              5      
# mismatches                       80931  
# indels                           68     
    # short indels                 68     
    # long indels                  0      
Indels length                      82     
