All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    3        
    # relocations                  2        
    # translocations               0        
    # inversions                   0        
    # interspecies translocations  1        
# possibly misassembled contigs    0        
# misassembled contigs             3        
Misassembled contigs length        711322   
# local misassemblies              2        
# mismatches                       26986    
# indels                           69       
    # short indels                 69       
    # long indels                  0        
Indels length                      69       
