Assembly	scaffolds
# contigs (>= 0 bp)	1110
# contigs (>= 1000 bp)	297
# contigs (>= 5000 bp)	209
# contigs (>= 10000 bp)	155
# contigs (>= 25000 bp)	82
# contigs (>= 50000 bp)	42
Total length (>= 0 bp)	7356224
Total length (>= 1000 bp)	7060857
Total length (>= 5000 bp)	6844889
Total length (>= 10000 bp)	6443865
Total length (>= 25000 bp)	5259063
Total length (>= 50000 bp)	3855778
# contigs	352
Largest contig	200996
Total length	7094731
Reference length	9283304
N50	54145
N75	24817
L50	37
L75	85
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	127194
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	75.346
Duplication ratio	1.014
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1004.13
# indels per 100 kbp	0.66
Largest alignment	200996
NA50	52872
NA75	24175
LA50	37
LA75	86
