All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  0        
    # relocations                0        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  99       
# misassembled contigs           0        
Misassembled contigs length      0        
# local misassemblies            4        
# mismatches                     33591    
# indels                         410      
    # short indels               27       
    # long indels                383      
Indels length                    21085    
