All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    2            
    # relocations                  1            
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  1            
# possibly misassembled contigs    0            
# misassembled contigs             2            
Misassembled contigs length        4628         
# local misassemblies              1            
# mismatches                       8398         
# indels                           5            
    # short indels                 5            
    # long indels                  0            
Indels length                      5            
