All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  5      
    # relocations                4      
    # translocations             0      
    # inversions                 1      
# possibly misassembled contigs  0      
# misassembled contigs           5      
Misassembled contigs length      310368 
# local misassemblies            2      
# mismatches                     21443  
# indels                         13     
    # short indels               13     
    # long indels                0      
Indels length                    19     
