Assembly	final.contigs
# contigs (>= 0 bp)	9808
# contigs (>= 1000 bp)	3477
# contigs (>= 5000 bp)	6
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	9589939
Total length (>= 1000 bp)	5981061
Total length (>= 5000 bp)	32002
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7153
Largest contig	5370
Total length	8617036
Reference length	9283304
N50	1399
N75	908
L50	2063
L75	3984
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.124
Duplication ratio	1.042
# N's per 100 kbp	0.00
# mismatches per 100 kbp	18.37
# indels per 100 kbp	0.00
Largest alignment	5370
NA50	1399
NA75	908
LA50	2063
LA75	3984
