All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  4        
    # relocations                4        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  0        
# misassembled contigs           4        
Misassembled contigs length      307071   
# local misassemblies            1        
# mismatches                     10483    
# indels                         17       
    # short indels               17       
    # long indels                0        
Indels length                    23       
