All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              6      
    # relocations            6      
    # translocations         0      
    # inversions             0      
# misassembled contigs       6      
Misassembled contigs length  26612  
# local misassemblies        7      
# mismatches                 222    
# indels                     9      
    # short indels           8      
    # long indels            1      
Indels length                94     
