All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              17           
    # relocations            13           
    # translocations         0            
    # inversions             4            
# misassembled contigs       17           
Misassembled contigs length  38518        
# local misassemblies        12           
# mismatches                 12005        
# indels                     22           
    # short indels           22           
    # long indels            0            
Indels length                24           
