All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              3      
    # relocations            3      
    # translocations         0      
    # inversions             0      
# misassembled contigs       3      
Misassembled contigs length  3921   
# local misassemblies        0      
# mismatches                 189    
# indels                     1      
    # short indels           1      
    # long indels            0      
Indels length                1      
