All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              15           
    # relocations            15           
    # translocations         0            
    # inversions             0            
# misassembled contigs       15           
Misassembled contigs length  20715        
# local misassemblies        3            
# mismatches                 27853        
# indels                     44           
    # short indels           43           
    # long indels            1            
Indels length                92           
