All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              11           
    # relocations            11           
    # translocations         0            
    # inversions             0            
# misassembled contigs       11           
Misassembled contigs length  18198        
# local misassemblies        3            
# mismatches                 27404        
# indels                     32           
    # short indels           31           
    # long indels            1            
Indels length                79           
