All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              28     
    # relocations            28     
    # translocations         0      
    # inversions             0      
# misassembled contigs       27     
Misassembled contigs length  87605  
# local misassemblies        9      
# mismatches                 34432  
# indels                     50     
    # short indels           48     
    # long indels            2      
Indels length                145    
