Name	Consensus ancestor	Consensus evolved	Strain ancestor	Strain evolved
Acidobacterium_capsulatum_ATCC_51196_00	197.0	143.0	197.0	143.0
Acidobacterium_capsulatum_ATCC_51196_05	192.0	139.0	192.0	139.0
Acidobacterium_capsulatum_ATCC_51196_10	266.0	212.0	266.0	212.0
Acidobacterium_capsulatum_ATCC_51196_15	333.0	282.0	333.0	282.0
Acidobacterium_capsulatum_ATCC_51196_20	437.0	385.0	437.0	385.0
Acidobacterium_capsulatum_ATCC_51196_25	561.0	506.0	560.0	506.0
Acidobacterium_capsulatum_ATCC_51196_30	742.0	700.0	742.0	698.0
Acidobacterium_capsulatum_ATCC_51196_35	958.0	919.0	957.0	917.0
Acidobacterium_capsulatum_ATCC_51196_40	1267.0	1230.0	1262.0	1226.0
Acidobacterium_capsulatum_ATCC_51196_45	1602.0	1559.0	1597.0	1556.0
Acidobacterium_capsulatum_ATCC_51196_50	2033.0	2024.0	2024.0	2019.0
Acidobacterium_capsulatum_ATCC_51196_55	2468.0	2473.0	2439.0	2460.0
Acidobacterium_capsulatum_ATCC_51196_60	2986.0	2985.0	2934.0	2937.0
Acidobacterium_capsulatum_ATCC_51196_65	3424.0	3443.0	3344.0	3333.0
Acidobacterium_capsulatum_ATCC_51196_70	3755.0	3794.0	3547.0	3561.0
Acidobacterium_capsulatum_ATCC_51196_75	3900.0	3876.0	3481.0	3483.0
Acidobacterium_capsulatum_ATCC_51196_80	3570.0	3586.0	2939.0	2903.0
Acidobacterium_capsulatum_ATCC_51196_85	2742.0	2774.0	2037.0	2007.0
Acidobacterium_capsulatum_ATCC_51196_90	1661.0	1685.0	1096.0	1029.0
Acidobacterium_capsulatum_ATCC_51196_95	702.0	703.0	380.0	406.0
Aeropyrum_pernix_00	74.0	57.0	74.0	57.0
Aeropyrum_pernix_05	65.0	54.0	65.0	54.0
Aeropyrum_pernix_10	100.0	87.0	100.0	87.0
Aeropyrum_pernix_15	124.0	111.0	124.0	111.0
Aeropyrum_pernix_20	148.0	137.0	148.0	137.0
Aeropyrum_pernix_25	228.0	219.0	228.0	219.0
Aeropyrum_pernix_30	304.0	297.0	304.0	297.0
Aeropyrum_pernix_35	413.0	392.0	413.0	391.0
Aeropyrum_pernix_40	508.0	496.0	506.0	496.0
Aeropyrum_pernix_45	697.0	677.0	692.0	672.0
Aeropyrum_pernix_50	804.0	804.0	800.0	800.0
Aeropyrum_pernix_55	1029.0	1032.0	1019.0	1022.0
Aeropyrum_pernix_60	1216.0	1210.0	1195.0	1190.0
Aeropyrum_pernix_65	1386.0	1395.0	1352.0	1347.0
Aeropyrum_pernix_70	1592.0	1561.0	1499.0	1460.0
Aeropyrum_pernix_75	1592.0	1566.0	1441.0	1408.0
Aeropyrum_pernix_80	1421.0	1405.0	1180.0	1143.0
Aeropyrum_pernix_85	1112.0	1105.0	826.0	805.0
Aeropyrum_pernix_90	648.0	646.0	409.0	410.0
Aeropyrum_pernix_95	263.0	266.0	145.0	152.0
Aquifex_aeolicus_00	76.0	54.0	76.0	54.0
Aquifex_aeolicus_05	80.0	56.0	80.0	56.0
Aquifex_aeolicus_10	105.0	84.0	105.0	84.0
Aquifex_aeolicus_15	125.0	107.0	125.0	107.0
