240015	Acidobacterium capsulatum ATCC 51196
56636	Aeropyrum pernix
63363	Aquifex aeolicus
2234	Archaeoglobus fulgidus
198094	Bacillus anthracis str. Ames
222523	Bacillus cereus ATCC 10987
226900	Bacillus cereus ATCC 14579
86665	Bacillus halodurans
1423	Bacillus subtilis
818	Bacteroides thetaiotaomicron
959	Bdellovibrio bacteriovorus
216816	Bifidobacterium longum
518	Bordetella bronchiseptica
519	Bordetella parapertussis
520	Bordetella pertussis
139	Borrelia burgdorferi
375	Bradyrhizobium japonicum
118099	Buchnera aphidicola (Acyrthosiphon pisum)
135842	Buchnera aphidicola (Baizongia pistaciae)
98794	Buchnera aphidicola (Schizaphis graminum)
6238	Caenorhabditis briggsae
197	Campylobacter jejuni
203907	Candidatus Blochmannia floridanus
155892	Caulobacter vibrioides
83560	Chlamydia muridarum
813	Chlamydia trachomatis
83557	Chlamydophila caviae
115711	Chlamydophila pneumoniae AR39
115713	Chlamydophila pneumoniae CWL029
182082	Chlamydophila pneumoniae TW-183
1097	Chlorobaculum tepidum
536	Chromobacterium violaceum
1488	Clostridium acetobutylicum
1502	Clostridium perfringens
1513	Clostridium tetani
1717	Corynebacterium diphtheriae
152794	Corynebacterium efficiens
196627	Corynebacterium glutamicum ATCC 13032
1718	Corynebacterium glutamicum
777	Coxiella burnetii
45157	Cyanidioschyzon merolae
243164	Dehalococcoides ethenogenes 195
882	Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough
1351	Enterococcus faecalis
562	Escherichia coli
155864	Escherichia coli O157:H7 EDL933
83334	Escherichia coli O157:H7
59374	Fibrobacter succinogenes subsp. succinogenes S85
76856	Fusobacterium nucleatum subsp. nucleatum
35554	Geobacter sulfurreducens
33072	Gloeobacter violaceus
730	Haemophilus ducreyi
727	Haemophilus influenzae
32025	Helicobacter hepaticus
210	Helicobacter pylori
85963	Helicobacter pylori J99
33959	Lactobacillus johnsonii
1590	Lactobacillus plantarum
1360	Lactococcus lactis subsp. lactis
5664	Leishmania major
1642	Listeria innocua
1639	Listeria monocytogenes
265669	Listeria monocytogenes str. 4b F2365
381	Mesorhizobium loti
2190	Methanocaldococcus jannaschii
39152	Methanococcus maripaludis
2320	Methanopyrus kandleri
2214	Methanosarcina acetivorans
2209	Methanosarcina mazei
187420	Methanothermobacter thermautotrophicus str. Delta H
1770	Mycobacterium avium subsp. paratuberculosis
1765	Mycobacterium bovis
1769	Mycobacterium leprae
83331	Mycobacterium tuberculosis CDC1551
83332	Mycobacterium tuberculosis H37Rv
2096	Mycoplasma gallisepticum
2097	Mycoplasma genitalium
267748	Mycoplasma mobile 163K
44101	Mycoplasma mycoides subsp. mycoides SC
28227	Mycoplasma penetrans
2104	Mycoplasma pneumoniae
2107	Mycoplasma pulmonis
160232	Nanoarchaeum equitans
65699	Neisseria meningitidis serogroup A
491	Neisseria meningitidis serogroup B
915	Nitrosomonas europaea
182710	Oceanobacillus iheyensis
100379	Onion yellows phytoplasma
747	Pasteurella multocida
141679	Photorhabdus luminescens subsp. laumondii
837	Porphyromonas gingivalis
1219	Prochlorococcus marinus
74547	Prochlorococcus marinus str. MIT 9313
59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986
287	Pseudomonas aeruginosa
160488	Pseudomonas putida KT2440
323	Pseudomonas syringae pv. tomato
13773	Pyrobaculum aerophilum
29292	Pyrococcus abyssi
2261	Pyrococcus furiosus
53953	Pyrococcus horikoshii
305	Ralstonia solanacearum
1076	Rhodopseudomonas palustris
781	Rickettsia conorii
782	Rickettsia prowazekii
209261	Salmonella enterica subsp. enterica serovar Typhi Ty2
601	Salmonella typhi
70863	Shewanella oneidensis
198215	Shigella flexneri 2a str. 2457T
623	Shigella flexneri
382	Sinorhizobium meliloti
234267	Solibacter usitatus Ellin6076
158878	Staphylococcus aureus subsp. aureus Mu50
196620	Staphylococcus aureus subsp. aureus MW2
158879	Staphylococcus aureus subsp. aureus N315
1282	Staphylococcus epidermidis
216495	Streptococcus agalactiae serogroup III
216466	Streptococcus agalactiae serogroup V
1309	Streptococcus mutans
1313	Streptococcus pneumoniae
171101	Streptococcus pneumoniae R6
1314	Streptococcus pyogenes
198466	Streptococcus pyogenes MGAS315
186103	Streptococcus pyogenes MGAS8232
193567	Streptococcus pyogenes SSI-1
33903	Streptomyces avermitilis
1902	Streptomyces coelicolor
2287	Sulfolobus solfataricus
111955	Sulfolobus tokodaii
32046	Synechococcus elongatus
84588	Synechococcus sp. WH 8102
1148	Synechocystis sp. PCC 6803
119072	Thermoanaerobacter tengcongensis
2303	Thermoplasma acidophilum
50339	Thermoplasma volcanium
2336	Thermotoga maritima
262724	Thermus thermophilus HB27
158	Treponema denticola
160	Treponema pallidum
203267	Tropheryma whipplei str. Twist
218496	Tropheryma whipplei TW08/27
134821	Ureaplasma parvum
666	Vibrio cholerae
36870	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
66077	Wolbachia sp. wMel
844	Wolinella succinogenes
92829	Xanthomonas axonopodis pv. citri
340	Xanthomonas campestris pv. campestris
2371	Xylella fastidiosa
183190	Xylella fastidiosa Temecula1
632	Yersinia pestis
187410	Yersinia pestis KIM
