All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  1            
    # relocations                0            
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  0            
# misassembled contigs           1            
Misassembled contigs length      507          
# local misassemblies            1            
# mismatches                     9020         
# indels                         2            
    # short indels               2            
    # long indels                0            
Indels length                    2            
