Assembly	contigs
# contigs (>= 0 bp)	1019
# contigs (>= 1000 bp)	349
# contigs (>= 5000 bp)	238
# contigs (>= 10000 bp)	157
# contigs (>= 25000 bp)	54
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4980951
Total length (>= 1000 bp)	4750539
Total length (>= 5000 bp)	4446394
Total length (>= 10000 bp)	3855251
Total length (>= 25000 bp)	2302653
Total length (>= 50000 bp)	862603
# contigs	385
Largest contig	119434
Total length	4773660
Reference length	9283304
N50	23337
N75	11845
L50	58
L75	133
# misassemblies	3
# misassembled contigs	3
Misassembled contigs length	122783
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	50.375
Duplication ratio	1.021
# N's per 100 kbp	0.00
# mismatches per 100 kbp	829.29
# indels per 100 kbp	0.36
Largest alignment	119434
NA50	23337
NA75	11803
LA50	58
LA75	134
