Assembly	final.contigs
# contigs (>= 0 bp)	4597
# contigs (>= 1000 bp)	1269
Total length (>= 0 bp)	3802915
Total length (>= 1000 bp)	1974481
# contigs	3045
Largest contig	5155
Total length	3249332
Reference length	3785550
GC (%)	32.28
Reference GC (%)	32.26
N50	1173
NG50	1050
N75	816
NG75	651
L50	948
LG50	1190
L75	1780
LG75	2329
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	84.533
Duplication ratio	1.053
# N's per 100 kbp	0.00
# mismatches per 100 kbp	101.09
# indels per 100 kbp	0.00
Largest alignment	5155
NA50	1173
NGA50	1050
NA75	816
NGA75	651
LA50	948
LGA50	1190
LA75	1780
LGA75	2329
