Assembly	final.contigs
# contigs (>= 0 bp)	1207
# contigs (>= 1000 bp)	388
Total length (>= 0 bp)	1140341
Total length (>= 1000 bp)	562066
# contigs	1207
Largest contig	2937
Total length	1140341
Reference length	641799
GC (%)	26.36
Reference GC (%)	26.30
N50	993
NG50	1354
N75	720
NG75	1102
L50	397
LG50	182
L75	736
LG75	311
# misassemblies	17
# misassembled contigs	17
Misassembled contigs length	20480
# local misassemblies	0
# unaligned contigs	0 + 4 part
Unaligned length	1235
Genome fraction (%)	89.397
Duplication ratio	1.985
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1327.93
# indels per 100 kbp	0.70
Largest alignment	2937
NA50	916
NGA50	1280
NA75	644
NGA75	1014
LA50	425
LGA50	192
LA75	797
LGA75	333
