Assembly	final.contigs
# contigs (>= 0 bp)	985
# contigs (>= 1000 bp)	225
Total length (>= 0 bp)	889754
Total length (>= 1000 bp)	510290
# contigs	563
Largest contig	9129
Total length	736895
Reference length	1283598
GC (%)	26.33
Reference GC (%)	26.30
N50	1740
NG50	633
N75	844
L50	118
LG50	395
L75	272
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	55.457
Duplication ratio	1.035
# N's per 100 kbp	0.00
# mismatches per 100 kbp	368.48
# indels per 100 kbp	0.00
Largest alignment	9129
NA50	1740
NGA50	633
NA75	844
LA50	118
LGA50	395
LA75	272
