Assembly	final.contigs
# contigs (>= 0 bp)	14890
# contigs (>= 1000 bp)	2612
Total length (>= 0 bp)	10246649
Total length (>= 1000 bp)	3635295
# contigs	9000
Largest contig	4380
Total length	8147640
Reference length	10957366
GC (%)	50.38
Reference GC (%)	50.49
N50	939
NG50	772
N75	704
L50	3065
LG50	4716
L75	5574
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	78.880
Duplication ratio	1.067
# N's per 100 kbp	0.00
# mismatches per 100 kbp	241.39
# indels per 100 kbp	0.15
Largest alignment	4380
NA50	939
NGA50	772
NA75	704
LA50	3065
LGA50	4717
LA75	5575
