Assembly	final.contigs
# contigs (>= 0 bp)	136
# contigs (>= 1000 bp)	96
# contigs (>= 5000 bp)	71
# contigs (>= 10000 bp)	64
# contigs (>= 25000 bp)	51
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	4572774
Total length (>= 1000 bp)	4555229
Total length (>= 5000 bp)	4499621
Total length (>= 10000 bp)	4448450
Total length (>= 25000 bp)	4253085
Total length (>= 50000 bp)	3544631
# contigs	110
Largest contig	327142
Total length	4563914
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	112683
NG50	112428
N75	54949
NG75	53788
L50	14
LG50	15
L75	29
LG75	30
# N's per 100 kbp	0.00
NGA50	-
