Assembly	scaffolds
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	18193
Total length (>= 5000 bp)	5473
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	205
Largest contig	5473
Total length	140187
Reference length	4641652
GC (%)	50.99
Reference GC (%)	50.79
N50	637
N75	550
L50	79
L75	139
# misassemblies	4
# misassembled contigs	4
Misassembled contigs length	8125
# local misassemblies	0
# unaligned contigs	0 + 5 part
Unaligned length	884
Genome fraction (%)	2.995
Duplication ratio	1.002
# N's per 100 kbp	585.65
# mismatches per 100 kbp	353.14
# indels per 100 kbp	51.06
Largest alignment	5390
NA50	627
NGA50	-
NA75	544
LA50	80
LA75	141
