Assembly	final.contigs
# contigs (>= 0 bp)	973
# contigs (>= 1000 bp)	457
Total length (>= 0 bp)	1166229
Total length (>= 1000 bp)	792152
# contigs	973
Largest contig	8192
Total length	1166229
Reference length	615980
GC (%)	25.44
Reference GC (%)	25.35
N50	1355
NG50	2022
N75	878
NG75	1658
L50	276
LG50	112
L75	545
LG75	196
# misassemblies	27
# misassembled contigs	27
Misassembled contigs length	48365
# local misassemblies	0
# unaligned contigs	0 + 2 part
Unaligned length	920
Genome fraction (%)	92.952
Duplication ratio	2.035
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1562.09
# indels per 100 kbp	0.87
Largest alignment	8192
NA50	1285
NGA50	1966
NA75	852
NGA75	1599
LA50	285
LGA50	115
LA75	564
LGA75	201
