Assembly	final.contigs
# contigs (>= 1000 bp)	394
# contigs (>= 5000 bp)	270
# contigs (>= 10000 bp)	171
# contigs (>= 25000 bp)	44
# contigs (>= 50000 bp)	3
Total length (>= 1000 bp)	4655708
Total length (>= 5000 bp)	4301266
Total length (>= 10000 bp)	3551731
Total length (>= 25000 bp)	1467479
Total length (>= 50000 bp)	169638
# contigs	415
Largest contig	62774
Total length	4671997
Reference length	4641652
GC (%)	50.78
Reference GC (%)	50.78
N50	19101
NG50	19115
N75	10184
NG75	10301
L50	84
LG50	83
L75	167
LG75	165
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.933
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.02
# indels per 100 kbp	0.00
Largest alignment	62774
NA50	19101
NGA50	19115
NA75	10184
NGA75	10301
LA50	84
LGA50	83
LA75	167
LGA75	165
