Assembly	final.contigs
# contigs (>= 0 bp)	147
# contigs (>= 1000 bp)	99
# contigs (>= 5000 bp)	74
# contigs (>= 10000 bp)	68
# contigs (>= 25000 bp)	50
# contigs (>= 50000 bp)	34
Total length (>= 0 bp)	4575297
Total length (>= 1000 bp)	4554027
Total length (>= 5000 bp)	4498418
Total length (>= 10000 bp)	4454662
Total length (>= 25000 bp)	4168582
Total length (>= 50000 bp)	3606295
# contigs	113
Largest contig	246979
Total length	4563917
Reference length	4641652
N50	95645
N75	56778
L50	15
L75	31
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	9
# unaligned contigs	0 + 1 part
Unaligned length	53
Genome fraction (%)	98.269
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	58.89
# indels per 100 kbp	9.56
Largest alignment	246979
NA50	95645
NA75	56778
LA50	15
LA75	31
