All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           contigs
# misassemblies                    1      
    # relocations                  0      
    # translocations               0      
    # inversions                   0      
    # interspecies translocations  1      
# possibly misassembled contigs    0      
# misassembled contigs             1      
Misassembled contigs length        82061  
# local misassemblies              1      
# mismatches                       59186  
# indels                           103    
    # short indels                 103    
    # long indels                  0      
Indels length                      121    
