Assembly	final.contigs
# contigs (>= 1000 bp)	1853
# contigs (>= 5000 bp)	15
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	3366426
Total length (>= 5000 bp)	90452
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3446
Largest contig	8764
Total length	4525590
Reference length	4641652
GC (%)	50.78
Reference GC (%)	50.78
N50	1531
NG50	1494
N75	986
NG75	949
L50	965
LG50	1004
L75	1881
LG75	1971
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	3248
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.658
Duplication ratio	1.052
# N's per 100 kbp	0.00
# mismatches per 100 kbp	84.45
# indels per 100 kbp	0.07
Largest alignment	8764
NA50	1527
NGA50	1494
NA75	985
NGA75	948
LA50	966
LGA50	1004
LA75	1883
LGA75	1973
